Plot ,block,Row,Harvest time,date ,year,Marketable wt (g),Marketable #fruit,Unmarketable wt (g),Unmarketable #fruit,Total Weight,Total nbr of fruit
Dianthus ,I,Inner ,Harvest 1,July 9th,2024,2825,29,520,9,3345,38
Dianthus ,I,Inner ,Harvest 2,July 18th,2024,3705,41,745,13,4450,54
Dianthus ,I,Inner ,Harvest 3,July 25th,2024,2650,31,755,10,3405,41
Dianthus ,I,Inner ,Harvest 4,August 2nd,2024,2610,33,1230,17,3840,50
Dianthus ,I,Inner ,Harvest 5,August 9th,2024,3605,56,1090,27,4695,83
Dianthus ,I,Inner ,Harvest 6,August 21st,2024,7625,82,610,11,8235,93
Dianthus ,I,Inner ,Harvest 7,August 30th,2024,9390,87,1875,27,11265,114
Dianthus ,I,Inner ,Harvest 8,September 14th,2024,10385,88,2220,32,12605,120
Dianthus ,I,Outer ,Harvest 1,July 9th,2024,1330,13,440,5,1770,18
Dianthus ,I,Outer ,Harvest 2,July 18th,2024,1825,24,510,10,2335,34
Dianthus ,I,Outer ,Harvest 3,July 25th,2024,3080,40,540,8,3620,48
Dianthus ,I,Outer ,Harvest 4,August 2nd,2024,2835,36,940,14,3775,50
Dianthus ,I,Outer ,Harvest 5,August 9th,2024,3840,57,1480,34,5320,91
Dianthus ,I,Outer ,Harvest 6,August 21st,2024,5555,48,1510,19,7065,67
Dianthus ,I,Outer ,Harvest 7,August 30th,2024,5155,45,2865,27,8020,72
Dianthus ,I,Outer ,Harvest 8,September 14th,2024,9635,87,2020,36,11655,123
Dianthus ,II,Inner ,Harvest 1,July 9th,2024,1195,17,370,9,1565,26
Dianthus ,II,Inner ,Harvest 2,July 18th,2024,3325,43,610,12,3935,55
Dianthus ,II,Inner ,Harvest 3,July 25th,2024,2580,36,425,8,3005,44
Dianthus ,II,Inner ,Harvest 4,August 2nd,2024,725,9,1150,24,1875,33
Dianthus ,II,Inner ,Harvest 5,August 9th,2024,3260,50,1085,29,4345,79
Dianthus ,II,Inner ,Harvest 6,August 21st,2024,6230,60,695,10,6925,70
Dianthus ,II,Inner ,Harvest 7,August 30th,2024,5540,53,2865,38,8405,91
Dianthus ,II,Inner ,Harvest 8,September 14th,2024,7700,70,1410,25,9110,95
Dianthus ,II,Outer ,Harvest 1,July 9th,2024,1910,21,305,3,2215,24
Dianthus ,II,Outer ,Harvest 2,July 18th,2024,3270,43,530,12,3800,55
Dianthus ,II,Outer ,Harvest 3,July 25th,2024,1595,23,640,17,2235,40
Dianthus ,II,Outer ,Harvest 4,August 2nd,2024,2375,37,590,17,2965,54
Dianthus ,II,Outer ,Harvest 5,August 9th,2024,3680,53,1515,36,5195,89
Dianthus ,II,Outer ,Harvest 6,August 21st,2024,6040,50,265,4,6305,54
Dianthus ,II,Outer ,Harvest 7,August 30th,2024,6725,58,2535,30,9260,88
Dianthus ,II,Outer ,Harvest 8,September 14th,2024,11215,93,1820,24,13035,117
Dianthus ,III,Inner ,Harvest 1,July 9th,2024,530,5,70,1,600,6
Dianthus ,III,Inner ,Harvest 2,July 18th,2024,130,3,0,0,130,3
Dianthus ,III,Inner ,Harvest 3,July 25th,2024,1430,19,0,0,1430,19
Dianthus ,III,Inner ,Harvest 4,August 2nd,2024,385,5,225,5,610,10
Dianthus ,III,Inner ,Harvest 5,August 9th,2024,1100,18,1500,38,2600,56
Dianthus ,III,Inner ,Harvest 6,August 21st,2024,2585,27,130,2,2715,29
Dianthus ,III,Inner ,Harvest 7,August 30th,2024,1915,19,1510,21,3425,40
Dianthus ,III,Inner ,Harvest 8,September 14th,2024,5220,58,2235,44,7455,102
Dianthus ,III,Outer ,Harvest 1,July 9th,2024,240,3,95,1,335,4
Dianthus ,III,Outer ,Harvest 2,July 18th,2024,445,5,0,0,445,5
Dianthus ,III,Outer ,Harvest 3,July 25th,2024,1615,18,370,8,1985,26
Dianthus ,III,Outer ,Harvest 4,August 2nd,2024,640,10,0,0,640,10
Dianthus ,III,Outer ,Harvest 5,August 9th,2024,1395,22,370,13,1765,35
Dianthus ,III,Outer ,Harvest 6,August 21st,2024,1380,15,430,8,1810,23
Dianthus ,III,Outer ,Harvest 7,August 30th,2024,1900,21,1550,29,3450,50
Dianthus ,III,Outer ,Harvest 8,September 14th,2024,1500,19,770,20,2270,39
Dianthus ,IV,Inner ,Harvest 1,July 9th,2024,2925,28,475,7,3400,35
Dianthus ,IV,Inner ,Harvest 2,July 18th,2024,4755,48,510,6,5265,54
Dianthus ,IV,Inner ,Harvest 3,July 25th,2024,4035,46,495,10,4530,56
Dianthus ,IV,Inner ,Harvest 4,August 2nd,2024,1330,17,440,7,1770,24
Dianthus ,IV,Inner ,Harvest 5,August 9th,2024,3865,44,2355,40,6220,84
Dianthus ,IV,Inner ,Harvest 6,August 21st,2024,6100,49,840,10,6940,59
Dianthus ,IV,Inner ,Harvest 7,August 30th,2024,3815,32,1140,12,4955,44
